	TexTerm_Beltra_RNA_rep1	TexTerm_Beltra_RNA_rep2	TexTerm_Beltra_RNA_rep3	TexTerm_Hudson_RNA_rep1	TexTerm_Hudson_RNA_rep2	TexTerm_Hudson_RNA_rep3	TRM_IEL_1_RNA_rep1	TRM_IEL_1_RNA_rep2	TRM_IEL_2_RNA_rep1	TRM_IEL_2_RNA_rep2	TRM_liver_RNA_rep1	TRM_liver_RNA_rep2	TRM_lung_A_RNA_rep1	TRM_lung_A_RNA_rep2	TRM_lung_A_RNA_rep3	TRM_lung_I_RNA_rep1	TRM_lung_I_RNA_rep2	TRM_lung_I_RNA_rep3
Gm13259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdtc1	37	38	18	341	328	452	32	16	22	29	1294	1420	2	8	4	2	23	19
Slc9a1	152	135	79	1390	1262	1096	63	31	149	158	2249	2314	49	50	82	40	97	96
Mir5122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam46b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trnp1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Kdf1	5	4	1	38	20	33	0	1	4	4	3	2	4	0	4	1	2	0
Nudc	413	283	223	1257	1176	1225	116	120	606	535	1140	1117	149	145	177	165	383	303
Nr0b2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm23158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpatch3	49	42	34	207	175	181	13	2	38	10	162	179	8	15	25	17	34	37
Gpn2	77	36	32	296	226	278	40	8	140	126	198	260	37	24	49	28	37	48
Sfn	23	15	12	193	182	187	28	11	45	46	567	499	16	14	39	11	53	90
Zdhhc18	1090	900	588	9500	8283	8031	155	104	379	310	9204	9582	275	260	297	232	596	617
Gm13213	0	0	0	3	6	8	2.85	0	0	0	2	1	0	0	0	0	1	0
Gm22662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Pigv	213	105	109	1233	1062	1008	93	43	203	146	932	942	52	55	80	54	69	96
Arid1a	297	216	109	4269	3511	3330	507	355	977	953	11675	12184	217	196	230	162	457	439
mmu-mir-7227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps6ka1	3166	2524	2047	15040.07	12994.43	12200.1	746	473	753	933	7015	7751.79	276	205	393	320	585	704
Gm12977	4	0	0	35.93	31.57	42.9	0	0	2	2	16	15.21	0	3	1	1	2	4
Gm12985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgn2	415.72	693.32	420.21	2225.11	1714.29	2862.83	1295.09	866.06	663.98	722.96	2804.25	2937.43	103.66	75.38	202.93	357.23	597.53	708.79
Dhdds	76	57	48	410	386	357	57	31	137	128	645	632	50	49	63	24	71	76
Lin28a	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0
Gm13061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp683	0	5	3	13	13	4	76	58	110	89	1556	1681	7	7	9	4	38	17
Aim1l	7	7	2	20	47	27	12	13	123	124	590.76	569	13	6	13	7	18	27
Cd52	3326	3651	2319	17528	16259	19104	3040	1978	4959	4474	13449.24	14990	835	579	1202	1925	3859	4313
Ubxn11	64	54	45	194.86	136.8	184.85	117	116	425	427	621.12	675.64	192	119	218	248	453	473
Sh3bgrl3	1484	1567	1066	7234.14	6369.2	7256.15	1977	1540	4687	4714	5892.88	6461.36	961	598	1372	1371	2514	2845
Cep85	231.93	183.04	121.84	846.11	721.36	708.84	106.06	82.86	166.65	135.04	1440.74	1377.99	101.75	85.88	152.86	152.99	196.28	212.55
Gm27619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catsper4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cnksr1	2	0	0	4	9	0	0	0	0	0	4	0	1	0	0	0	0	0
Zfp593	54	73	36	278	222.8	276.72	33	24	154	124	200.18	209.15	55	24	47	51	86	106
E130218I03Rik	29	34	16	0	1.2	3.28	19	22	104	87	8.82	3.85	27	12	26	29	52	59
Grrp1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0
Pdik1l	90	90	75	466	416	432	26	48	21	47	785	769	49	66	56	42	49	31
Trim63	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm13195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Slc30a2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extl1	0	0	0	1	6	12	2	1	0	0	5	11	1	1	1	16	1	0
Pafah2	1	0	1	0	17	8	4	0	3	1	45	32	1	4	3	4	3	0
1700021N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stmn1	147	137	122	919	252	1377.25	242	231	38	35	788.53	418	48	53	54	108.19	165	171.67
Gm23634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13250	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Paqr7	137	118	75	626	579	554	45	24	148	170	842	861	71	80	111	55	88	81
Aunip	0	3	0	11	5	30	0	2	0	0	8	17	0	0	0	0	0	0
Mtfr1l	538	572	394	2120	1923	2168	266	132	707	582	1546	1749	266	145	246	201	389	372
Sepn1	253	266	202	1735	1623	1634	99	49	221	189	1384	1676	39	38	80	34	142	171
Man1c1	12	13	11	45	63	33	2	0	7	14	68	80	15	10	11	18	12	39
Mir6403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrap1	169	106	105	712	690	558	78	31	360	357	527	445	68	51	88	62	165	142
Tmem57	112	72	53	499	578	537	24	8	41	49	907	957	81	68	79	35	50	70
Rhd	0	2	25	0	3	6	4	0	0	1	3	0	2	0	0	2	1	1
Tmem50a	810	956	718	4013	4032	4057	502	308	1194	1017	3108	3302	475	422	676	525	1151	1097
Rsrp1	1814	642	611	8835	9022	9342	2242	758	1687	1559	14222	13376	1526	1109	1387	1559	3149	2843
Syf2	427	364	284	1564	1562	1757	303	187	901	910	2211	2176	225	177	261	260	557	536
Gm16225	0	0	0	1	0	1	0	1	0	0	3	1	0	0	0	0	0	0
Runx3	757	555	455	6491	5527	5853	366	208	1291	1340	5737	6154	271	204	357	191	445	446
Gm16224	0	0	0	3	1	1	0	0	10	8	17	20	0	1	0	0	2	1
Clic4	527	460	417	1970	1556	1484	120	73	91	125	1865	1825	282	330	414	359	304	322
Gm12983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srrm1	318	325	236	1826	1716	1938	149	126	592	473	5143	5277	351	234	362	361	543	578
Ncmap	5	1	1	7	13	14	12	1	54	73	1	1	6	1	8	9	6	19
Gm12991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12990	0	0	1	0	0	0	0	0	1.01	0	0	0	0	0	0	1	0	1
Rcan3	26	47	20	263	232	218	35	18	10	18	502	487	36	32	31	13	33	25
Mir700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15979	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Nipal3	143	101	75	683.31	672.06	674.03	45	38	125	118	3582	3218	44	55	68	31	45	80
Gm37270	0	0	1	4.69	6.94	18.97	0	0	1	1	0	0	0	0	2	0	1	0
Stpg1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Gm25317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grhl3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1
Gm23106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
Ifnlr1	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	8	0	0
Gm12989	0	0	0	0	6.03	2.56	6.83	2.91	7.55	0	0	2.76	1.06	3.45	0	2.15	0	1.13
Il22ra1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12988	0	0	0	0	0	1	1.38	0	0	0	0	0	0	0	0	0	0	0
Myom3	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	3	0
Gm13000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf10	160	154	119.59	1064	926.29	1132.03	231	174	177.74	63.12	2913.59	2842	165.74	148.9	211	133.61	252	273.76
Pnrc2	321	414	250	2447	2245	2303	455	269	257	299	3784	4161	145	143	191	219	397	379
Gm13006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnr2	0	0	6	2	1	1	0	0	9	12	189	165	4	0	9	26	1	28
Fuca1	299	293	198	1319	1129	1228	125	90	380	306	798	816	56	48	88	267	202	230
Hmgcl	210	141	111	813	738	802	148	103	369	344	490	511	54	55	85	84	92	120
Gale	29	19	16	280	292	285	53	31	73	56	210	171	25	16	27	27	35	45
Lypla2	532	469	326	3475	3134	3001	277	150	415	473	2815	3045	191	171	309	311	509	501
Pithd1	263	232	187	789	771	801	95	73	266	156	724	724	105	96	127	105	207	172
Gm13007	0	0	0	0	0	0	1.28	2.76	2.63	0	0	0	0	0	1.01	1.01	1.01	0
Tceb3	804	523	476	2747.38	2428.23	2337.47	205	139	471	322	2269	2348	199	176	274	216	364	397
Gm13008	9	10	6	24.62	21.77	22.53	8	1	13	15	0	0	0	5	4	9	11	13
Gm24362	0	1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	2
Rpl11	209.05	221.73	118.46	1632.24	1459.17	1539.45	621.1	478.67	2621.84	2503.92	8422.3	8538.93	218.17	221.13	337.57	384.25	606.07	701.59
Gm13009	0	0	0	0	0	0	0	0	5.06	2.02	0	0	2	0	1	0	0	2
Gm26001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Id3	6	7	9	5	3	2	48	17	102	153	95	95	6	7	6	34	21	32
E2f2	49	32	61	221	187	275	53	39	0	3	401	284	4	11	8	13	24	24
Asap3	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	2	0
Tcea3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Zfp46	100	55	44	514	503	370	29	12	15	28	388	367	25	24	32	12	24	26
Gm13013	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Hnrnpr	394.99	435	303	2334.08	2091.05	2168.94	235	158	318.42	263.64	3603.79	3672.88	260	188	303	203	330.99	411.96
Gm27022	3	1	3	16.92	21.89	25.06	6	2	1	0	0	0	3	0	2	1	0	0
Htr1d	0	0	1	0	0	0	0	0	0	0	1	1	0	1	5	6	1	8
6030445D17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luzp1	4	3	3	19	18	16	35	15	82	71	125	113	15	12	14	26	37	47
Kdm1a	371	361	252	1427	1298	1323	57	41	93	111	1949	2052	143	107	163	110	214	245
Gm12987	0	0	0	1	2	1	0	0	0	2.95	0	0	2	0	1	4	0	3
Gm12986	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0
Gm22180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930549C01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lactbl1	1	1	0	8	7	11	0	1	9	3	12	7	0	0	0	2	1	1
Gm37583	0	0	0	0	0	2	0	0	0	0	6	5	2	0	1	2	0	0
Ephb2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	3	1	1
C1qb	1	15	9	31	11	25	2	6	1	9	16	11	0	0	9	0	0	4
C1qc	2	8	3	14	10	10	0	6	0	2	19	10	1	1	3	0	2	5
C1qa	1	6	7	15	3	6	0	7	0	12	14	5	0	0	2	1	0	1
Epha8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Zbtb40	55	37	22	393	266	248	17	23	68	79	1085	883	19	18	33	23	27	47
Gm23834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13003	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm25399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
Wnt4	1	1	0	8	6	5	4	3	0	1	2	0	1	3	6	3	3	0
Cdc42	1972	2644	1904	14721	12279	12908	2549	1810	1920.9	1605.9	13241	13374	1442	1135	1634	1682	2984	3354
Gm25772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810405F17Rik	1	1	0	25	28	16	0	0	0	3	13	9	4	5	3	7	3	7
Rpl31-ps10	0	0	0	0	0	0	1.3	0	0	0	0.51	0	1.04	0	0	0	0	3.01
Cela3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cela3b	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm13010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspg2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0
Mir7018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Usp48	751	496	432	2704	2306	2449	402	288	702	635	9163	9772	254	265	331	233	447	453
Rap1gap	0	0	0	4	4	12	0	0	0	2	37	15	0	0	3	2	2	1
Rap1gapos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpl	0	0	1	0	0	2	2	0	0	0	3	0	0	0	2	4	3	2
Ece1	56	73	36	568	395	381	74	39	64	71	649	582	35	40	35	107	101	64
Gm13012	5	0	2	23	37	43	24	12	43	57	46	41	2	1	2	4	4	6
Eif4g3	341	217	186	3158	2721	3005	153	76	163	216	5494	5588	87	81	143	108	195	231
1700095J12Rik	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0
Mir6399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310026L22Rik	0	1	0	3	1	3	0	0	0	1	4	2	2	0	0	0	0	0
Hp1bp3	699	614	525	3350	3124	2686	345	237	853	799	8825	9157	322	250	432	332	674	588
Sh2d5	5	1	1	18	15	20	2	1	3	5	62	65	1	0	2	13	8	4
Kif17	0	0	0	2	1	0	0	0	1	0	2	3	0	1	2	2	0	0
Ddost	1027	883	712	4599	3937	3993	426	294	1380	1333	2210	2175	292	236	349	328	691	653
Pink1	667	629	556	2782	2418	2283	75	66	173	173	1643	2063	159	127	239	175.47	372	321
Mir7019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	0
Cda	0	0	0	0	0	1	0	1	5	6	1	0	0	1	0	0	0	1
Fam43b	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0
AB041806	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl38-ps1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.91
Mul1	117	78	66	505	481	478	21	13	115	132	437	456	12	23	27	33	45	68
Camk2n1	10	15	11	265	258	361	5	5	28	17	1472	1409	8	5	9	10	25	35
Vwa5b1	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0
Gm22961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn10	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	2	0
Pla2g2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g2f	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0
Pla2g2d	0	1	3	9	11	13	0	4	0	2	1	0	0	4	3	5	0	2
Pla2g5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13030	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0
Pla2g2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otud3	8	3	7	44	42	42	6	3	12	6	144	147	4	6	7	16	16	12
Rnf186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Tmco4	484	334	279	1750	1612	1460	68	45	144	219	1230	1299	40	15	57	82	117	103
Htr6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Nbl1	0	0	0	1	0	3	0	0	3	0	0	2	1	0	5	5	1	0
Minos1	141	143	95	1111	1004	1218	182	148	510	448	826	873	143	123	220	208	332	378
Hspe1-ps4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16287	2	1	0	8	1	6	2	0	0	4	1	2	0	0	0	3	0	4
Capzb	2753	2630	2011	12810	11636	12376	1483	1004	3078	2976	7363	8180	447	312	641	871	1598	1699
Pqlc2	58	50	30	231	212	210	16	13	106	54	78	104	10	32	10	23	30	29
Akr7a5	42	34	28	160	129	133	23	11	88	153	173	163	28	13	29	35	60	65
Gm25732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24245	0	0.33	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd3-ps	0	0	0	1	2	0	1.09	2.22	9.84	4.94	0	0	0	0	1	0	0	1
Mrto4	44	32	28	229	207	210	27	31	124	101	355	348	48	45	58	61.91	106.92	129
Emc1	417	365	299	2318.07	2221.28	1852.18	102	73	121	156	1209.54	1141.85	84	84	130	80	158	164
Ubr4	157	83	75	2101.03	1544	1478.06	310	138	694	674	12348	11801.45	232	232	339	171	362	361
2700016F22Rik	36	49	25	20.9	18.72	13.76	29	28	19	16	6.46	1.7	21	20.61	36	26	25	36
Iffo2	13	9	10	52	67	49	6	10	10	41	841	795	23	16	23	18	25	27
Gm25571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh4a1	135	126	82	447	453	399	51	27	163	143	582	549	24	38	39	28	46	31
Mir7020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tas1r2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Pax7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2
Gm1667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933427I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Klhdc7a	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1
Mir2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm13017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef10l	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	2	0
Gm13025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcc2	469.03	303	272	2742	2532	2155	54	42	149	125	2882	2916	481	466	641	194	468	452
Gm25951	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Padi6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Padi4	0	0	0	4	1	2	0	0	4	2	18	9	0	0	0	0	6	9
Padi3	0	0	0	0	2	7	1	3	0	0	0	1	0	0	0	0	0	0
Gm13032	0	1	1	22.29	20.61	19.89	2	1	2	0	7.74	18.56	0	1	2	0	0	0
Padi1	0	0	0	8.71	7.39	17.11	0	1	0	0	6.26	15.44	0	0	2	0	0	0
4930515B02Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Padi2	1091	732	552	6770.82	6133.19	5667.81	199	147	479	449	6824.99	8013.18	213	147	231	207	644	783
Gm26226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13031	3	5	1	25.18	16.81	14.19	1	0	4	2	22.01	21.82	2	4	2	4	11	13
Sdhb	662	573	434	2939	2536	3067	523	365	677	786	1268	1321	191	165	297	302	598	586
Atp13a2	117	73	65	684	590	622	31	31	26	14	661	584	41	46	62	59	91	74
Mfap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Crocc	6	6	5	81	80	61	10	1	11	3	262	231	2	4	10	2	5	8
Necap2	315	302	242	1288	1140	1219	243	151	338	304	1128	1278	145	121	186	197	282	308
Gm13047	0	0	0	0	0	0	2.04	0	0	0	0	0	0	0	3	2	0	0
Spata21	0	0	0	5	2	1	0	0	2	0	0	0	0	0	0	0	0	0
Szrd1	93	117	53	1218.94	1010	962	73	36	184	120	2093.09	2030.95	26	24	33	30	53	42
4921514A10Rik	1	1	1	1.06	0	0	2	0	7	4	23.91	23.05	4	0	1	5	4	3
Fbxo42	188	169	115	1142	939	827	108	61	221	246	1106	1262	77	94	104	66	128	152
Rsg1	1	4	3	16	11	10	1	3	7	2	10	19	3	3	2	1	0	5
C630004L07Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	5	0
Arhgef19	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	2	3
Gm13055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Gm13056	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Epha2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Gm25690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam131c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcnka	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13075	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1
Clcnkb	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Hspb7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb17	167	79	84	719	555	604	60	32	164	214	700	707	44	53	63	70	116	119
Spen	232	81	53	1281	1232	1371	35	41	173	149	3258	3517	110	117	147	93	165	162
B330016D10Rik	2	2	1	25	19	27	0	1	2	3	31	35	5	3	2	5	12	6
Fblim1	0	0	0	4	0	2	0	0	0	0	1	1	0	6	0	0	1	0
Tmem82	1	1	0	11	17.52	8.25	0	1	0	0	1.48	5.71	1	0	0	0	2	0
AI507597	0	0	0	0	0.48	0.75	0	0	0	0	3.52	0.29	1	0	0	0	0	0
Slc25a34	0	2	0	9	5	18	1	0	0	0	0	11	0	0	0	0	0	0
Plekhm2	69	54	43	533	615	482	22	2	47	37	920	937	22	20	33	28	28	48
Ddi2	301.83	163.8	113.84	1589.34	1133.86	1196.52	140.75	54.12	130.78	79.83	2864.83	2971.08	42.95	83	96	117.83	124.24	71.61
Rsc1a1	35.17	23.2	15.16	203.66	147.14	161.48	13.25	3.88	40.22	11.17	134.17	139.92	2.05	0	0	5.17	6.76	24.39
Agmat	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0
Dnajc16	31	30	21	186	234	211	6	9	34	34	587	613	25	12	37	24	39	24
Casp9	99	103	85	701	657	504	37	18	38	41	570	557	23	33	30	19	50	62
Cela2a	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	1	0	3
Ctrc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctrcos	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Efhd2	2636	2509	1741	15130	13678	12887	556	374	984	871	7792	9308	455	282	458	691	1217	1167
Gm29367	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	4	1	0
Fhad1os2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Fhad1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3
Gm13059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhad1os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0
4930455G09Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
Tmem51	6	5	5	1	12	7	0	0	0	0	49	18	4	11	10	30	35	37
Gm13053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tmem51os1	0	0	0	0	0	0	0	0	0	0	0	2	6	6	6	7	1	7
Kazn	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	7	1	0
Gm13062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm37624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm2	95	81	35	894	784	740	108	68	216	176	3784	3932	125	104	120	150	235	218
mmu-mir-7021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13038	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm13039	0	0	0	1.04	2.07	0	0	0	1.21	3.96	0	3.1	0	0	5.03	0	0	0
Gm22039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm13050	0	0	0	5	0	1	7.47	10.84	2.53	10.17	11.01	13.08	2	1	0	3.02	0	4.01
Pdpn	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	4	0	4
Gm26313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
